s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
16.576101,-1.401753,-13.504343,-1.507907,0.399006,3.152708,4.527981
16.775813,-1.201523,-13.476734,-1.339855,1.021437,3.427558,-0.235591
16.975525,-1.017724,-13.415434,-1.172918,0.638529,3.413803,4.324842
17.175237,-0.834672,-13.326033,-1.066532,0.442773,3.658073,5.031654
17.374949,-0.657266,-13.217928,-0.984205,0.326613,3.92317,4.991352
17.574661,-0.495357,-13.103854,-0.934664,0.179785,4.169524,4.951372
17.774373,-0.33408,-12.981238,-0.910947,0.05735,4.400298,4.911712
17.974085,-0.170276,-12.85343,-0.90771,-0.012657,4.617844,4.87237
18.173797,-0.009522,-12.728692,-0.916145,-0.074793,4.823963,4.833343
18.373509,0.143211,-12.613871,-0.939618,-0.173134,5.020077,4.794629
18.573222,0.316802,-12.491046,-0.966122,-0.049655,5.207328,4.756225
18.772934,0.468739,-12.385495,-0.952761,0.198012,5.386652,0.800817
18.972646,0.628463,-12.270608,-0.956745,-0.247471,5.416261,-0.583612
19.172358,0.792972,-12.162934,-1.031562,-0.412332,5.394699,-0.583612
19.37207,0.963492,-12.069406,-1.104582,-0.347215,5.37305,1.397077
19.571782,1.154446,-11.981583,-1.173418,-0.294541,5.42473,2.742201
19.771494,1.342271,-11.908528,-1.223757,-0.218368,5.524762,4.687908
19.971206,1.531556,-11.844514,-1.265154,-0.204959,5.691701,4.650358
20.170918,1.729024,-11.786693,-1.305466,-0.170536,5.8526,4.61311
20.37063,1.918079,-11.738108,-1.329664,-0.067382,6.007954,4.57616
20.570342,2.108174,-11.691772,-1.328996,0.076944,6.158193,4.539505
20.770054,2.301402,-11.64156,-1.299668,0.210113,6.303692,2.853995
20.969766,2.489129,-11.584735,-1.253258,0.243135,6.393472,1.24178
21.169478,2.678432,-11.517326,-1.204061,0.245975,6.432144,0.993744
21.36919,2.862758,-11.44128,-1.154935,0.246697,6.462925,0.857996
21.568902,3.042643,-11.356497,-1.105713,0.248484,6.489384,0.691316
21.768614,3.221826,-11.260829,-1.055024,0.248328,6.510625,0.623766
21.968326,3.390716,-11.159615,-1.007058,0.239819,6.529731,0.919732
22.168039,3.558681,-11.047691,-0.959076,0.236352,6.5578,0.973326
22.367751,3.719454,-10.929185,-0.912435,0.227912,6.587376,1.239893
22.567463,3.874341,-10.803749,-0.86804,0.218189,6.624859,1.543851
22.767175,4.02541,-10.670035,-0.824697,0.212031,6.671238,1.670999
22.966887,4.168595,-10.532122,-0.784172,0.195444,6.721075,2.265374
23.166599,4.30706,-10.387933,-0.746623,0.180583,6.788055,2.755131
23.366311,4.440607,-10.238393,-0.711758,0.166117,6.868636,3.216821
23.566023,4.568632,-10.085106,-0.680568,0.146454,6.96154,3.930534
23.765735,4.692167,-9.928069,-0.653156,0.128134,7.0734,4.296665
23.965447,4.811747,-9.767767,-0.629198,0.112521,7.19369,4.262249
24.165159,4.927718,-9.604766,-0.608014,0.099255,7.311062,4.228109
24.364871,5.040025,-9.440101,-0.589553,0.085976,7.42566,4.194243
24.564583,5.14977,-9.273127,-0.573959,0.068866,7.53762,4.160647
24.764295,5.257172,-9.104723,-0.56214,0.04937,7.647063,4.127321
24.964007,5.362685,-8.935631,-0.554283,0.029407,7.754104,4.094262
25.16372,5.467432,-8.765376,-0.548943,0.024783,7.858847,4.061468
25.363432,5.571236,-8.594767,-0.544374,0.020966,7.961389,4.028936
25.563144,5.674272,-8.423812,-0.54055,0.018001,8.061822,3.996665
25.762856,5.776842,-8.252217,-0.536973,0.01779,8.160229,3.964652
25.962568,5.878631,-8.080544,-0.533444,0.017568,8.256689,3.932896
26.16228,5.979887,-7.908399,-0.529956,0.017381,8.351276,3.901394
26.361992,6.080591,-7.735824,-0.526498,0.017232,8.444058,3.870145
26.561704,6.180548,-7.563166,-0.523075,0.017085,8.535101,3.839145
26.761416,6.280105,-7.389837,-0.519675,0.016932,8.624465,3.808394
26.961128,6.37899,-7.216324,-0.516309,0.016775,8.712208,3.77789
27.16084,6.477204,-7.042636,-0.512978,0.016619,8.798383,3.74763
27.360552,6.575029,-6.868291,-0.509669,0.016478,8.883042,3.717612
27.560264,6.672133,-6.693885,-0.506394,0.016336,8.966233,3.687834
27.759976,6.768709,-6.51909,-0.503146,0.016198,9.048002,3.658295
27.959688,6.864773,-6.343885,-0.499923,0.016064,9.128393,3.628993
28.1594,6.960135,-6.168629,-0.496731,0.015928,9.207446,3.599925
28.359112,7.055101,-5.992771,-0.493561,0.015801,9.285201,3.57109
28.558824,7.14944,-5.816746,-0.490418,0.015675,9.361696,3.542486
28.758536,7.243156,-5.640562,-0.487302,0.015549,9.436964,3.514112
28.958249,7.336479,-5.463796,-0.484206,0.015432,9.511042,3.485964
29.157961,7.429129,-5.286985,-0.481137,0.015312,9.58396,3.458042
29.357673,7.521287,-5.109799,-0.478091,0.015197,9.655751,3.430344
29.557385,7.612936,-4.932276,-0.475066,0.015086,9.726443,3.402867
29.757097,7.703932,-4.754708,-0.472067,0.014973,9.796064,3.375611
29.956809,7.794553,-4.576563,-0.469085,0.014868,9.864643,3.348573
30.156521,7.884563,-4.39831,-0.466127,0.014761,9.932204,3.321751
30.356233,7.974015,-4.219856,-0.463191,0.014656,9.998773,3.295144
30.555945,8.06304,-4.04095,-0.460272,0.014557,10.064374,3.268751
30.755657,8.151443,-3.861989,-0.457376,0.014456,10.12903,3.242569
30.955369,8.239398,-3.682635,-0.454499,0.014355,10.192762,3.216596
31.155081,8.326829,-3.503048,-0.451642,0.014254,10.255593,3.190832
31.354793,8.413672,-3.323371,-0.448807,0.014151,10.317542,3.165274
31.554505,8.500131,-3.143191,-0.445987,0.014076,10.37863,3.13992
31.754217,8.586002,-2.962937,-0.443184,0.013999,10.438876,3.11477
31.95393,8.67138,-2.782422,-0.440398,0.01388,10.498297,3.089821
32.153642,8.75629,-2.601602,-0.437642,0.01371,10.556912,3.065072
32.353354,8.840639,-2.42069,-0.434923,0.013536,10.614738,3.040522
32.553066,8.924571,-2.239391,-0.432208,0.013683,10.67179,3.016168
32.752778,9.007972,-2.057939,-0.429456,0.013882,10.728087,2.992008
32.95249,9.09085,-1.876302,-0.426679,0.013538,10.783642,2.968043
33.152202,9.173281,-1.694355,-0.424158,0.011702,10.83847,2.944269
33.351914,9.255255,-1.512287,-0.422006,0.009854,10.892587,2.920686
33.551626,9.336875,-1.330053,-0.420277,0.00721,10.946006,2.897292
33.751338,9.418242,-1.147682,-0.419139,0.00419,10.99874,2.874085
33.95105,9.499465,-0.965224,-0.418603,0.001196,11.050804,2.851064
34.150762,9.580599,-0.782846,-0.418638,-0.001549,11.102209,2.828228
34.350474,9.661844,-0.600368,-0.419221,-0.004284,11.152969,2.805574
34.550186,9.743208,-0.418045,-0.420351,-0.007059,11.203094,2.783102
34.749898,9.824814,-0.235867,-0.42204,-0.009864,11.252598,2.76081
34.94961,9.906899,-0.053587,-0.42429,-0.012639,11.301491,1.872212
35.149322,9.989236,0.12803,-0.42709,-0.015432,11.334527,-12.2317
35.349034,10.072271,0.309695,-0.430447,-0.018179,11.116918,-11.89861
35.548746,10.155986,0.491104,-0.43435,-0.020907,10.901068,-11.588858
35.748459,10.240275,0.671771,-0.438793,-0.023654,10.686646,-11.314008
35.948171,10.3257,0.852639,-0.443792,-0.026308,10.473076,-11.072223
36.147883,10.41178,1.032443,-0.449292,-0.028867,10.259766,-10.864813
36.347595,10.498977,1.211919,-0.455298,-0.031302,10.046051,-10.690736
36.547307,10.587709,1.391685,-0.461805,-0.0336,9.831226,-10.515103
36.747019,10.676849,1.569262,-0.468734,-0.036115,9.615249,-10.372951
36.946731,10.767815,1.747272,-0.476192,-0.038478,9.39733,-10.238113
37.146443,10.860119,1.924523,-0.484114,-0.040973,9.17717,-10.107016
37.346155,10.953267,2.099884,-0.492526,-0.043662,8.954522,-10.038628
37.545867,11.048875,2.276158,-0.501506,-0.045802,8.72776,-10.036326
37.745579,11.145532,2.450554,-0.510617,-0.044164,8.495002,-10.256662
37.945291,11.243582,2.62385,-0.519034,-0.040469,8.250351,-10.607933
38.145003,11.344007,2.798036,-0.526836,-0.037216,7.989445,-10.624184
38.344715,11.445109,2.970346,-0.53463,-0.043142,7.719305,-10.200222
38.544427,11.547692,3.141773,-0.544174,-0.052474,7.450735,-9.816766
38.74414,11.652261,3.312425,-0.555655,-0.06237,7.182785,-8.308777
38.943852,11.759256,3.482019,-0.571214,-0.096518,6.947926,-6.69713
39.143564,11.869172,3.648995,-0.594456,-0.136348,6.75268,-5.108671
39.343276,11.982956,3.812011,-0.625688,-0.178263,6.59986,-4.124107
39.542988,12.10407,3.973109,-0.664596,-0.207974,6.473862,-2.997658
39.7427,12.230633,4.127577,-0.709369,-0.241168,6.380717,-1.855632
39.942412,12.363685,4.274908,-0.760842,-0.273838,6.32237,-1.613133
40.142124,12.507462,4.417687,-0.817268,-0.284162,6.271208,-1.041646
40.341836,12.656177,4.549385,-0.875328,-0.301672,6.237947,-0.77412
40.541548,12.814043,4.673053,-0.93756,-0.310858,6.213114,-0.77412
40.74126,12.980852,4.787658,-0.999941,-0.30679,6.188181,-0.516026
40.940972,13.147248,4.887626,-1.059819,-0.311845,6.171504,-0.641176
41.140684,13.331422,4.983266,-1.123368,-0.299055,6.150721,-0.072299
41.340396,13.50953,5.062531,-1.18033,-0.285143,6.148373,0.462817
41.540108,13.698133,5.134187,-1.232525,-0.210774,6.163388,3.231484
41.73982,13.883238,5.196059,-1.258348,-0.040562,6.267223,4.512338
41.939532,14.069286,5.254981,-1.275392,-0.175809,6.409401,2.808012
42.139244,14.264185,5.309506,-1.324423,-0.284347,6.496307,-0.846297
42.338956,14.453887,5.351885,-1.376867,-0.261425,6.470238,0.216174
42.538669,14.656477,5.386047,-1.430857,-0.268342,6.476907,-0.098281
42.738381,14.853878,5.409382,-1.470982,-0.137015,6.473875,4.459538
42.938093,15.053696,5.427435,-1.48644,-0.018188,6.610016,-2.730126
43.137805,15.254552,5.444756,-1.479945,0.078868,6.527008,-5.589554
43.337517,15.452693,5.46502,-1.454504,0.178849,6.353678,-5.008078
43.537229,15.648014,5.491838,-1.413617,0.202282,6.194262,-4.831412
43.736941,15.84371,5.526588,-1.378236,0.150172,6.036481,-6.674676
43.936653,16.036581,5.566893,-1.350493,0.177733,5.81146,-3.748245
44.136365,16.228218,5.614071,-1.305116,0.275716,5.681191,-2.083153
44.336077,16.424955,5.674192,-1.241137,0.335436,5.607484,-2.079375
44.535789,16.606895,5.743184,-1.175313,0.343136,5.53293,-1.754533
44.735501,16.790571,5.827586,-1.10414,0.362568,5.469234,-1.595801
44.935213,16.967334,5.925082,-1.0289,0.375447,5.410648,-1.571538
45.134925,17.13349,6.033749,-0.954231,0.378115,5.352327,-1.665707
45.334637,17.293112,6.156343,-0.877108,0.389372,5.289809,-1.610898
45.53435,17.442051,6.290443,-0.798602,0.386478,5.228638,-1.893398
45.734062,17.579687,6.435146,-0.72245,0.377364,5.15581,-2.439997
45.933774,17.706208,6.590077,-0.647176,0.376459,5.060414,-2.861506
46.133486,17.820985,6.754605,-0.570582,0.390221,4.946194,-2.829161
46.333198,17.922263,6.927131,-0.490305,0.413065,4.83061,-2.613183
46.53291,18.008412,7.106223,-0.405482,0.441156,4.721338,-2.42734
46.732622,18.079127,7.293941,-0.314151,0.469021,4.61752,-2.142139
46.932334,18.1317,7.486724,-0.217223,0.501727,4.523922,-1.740211
47.132046,18.164506,7.682199,-0.114096,0.53899,4.446435,-1.622108
47.331758,18.176375,7.882156,-0.003705,0.562749,4.372971,-1.446334
47.53147,18.165753,8.081277,0.111167,0.589132,4.306411,-1.381528
47.731182,18.131917,8.277524,0.230859,0.594341,4.241858,-1.137158
47.930894,18.075135,8.46962,0.341064,0.507796,4.187977,-3.025734
48.130606,17.999335,8.654386,0.435219,0.43768,4.041114,-4.507694
48.330318,17.906195,8.834652,0.51289,0.258352,3.81184,-8.298025
48.53003,17.803264,9.011561,0.52799,-0.125812,3.348983,-6.559823
48.729742,17.710499,9.181013,0.456908,-0.65296,2.931815,-2.940342
48.929454,17.637485,9.369181,0.264174,-1.240852,2.724169,-0.147636
49.129167,17.612891,9.562391,-0.024045,-1.629964,2.713324,-0.147636
49.328879,17.648044,9.756743,-0.316938,-1.199195,2.702435,3.095637
49.528591,17.732345,9.94164,-0.531693,-0.993674,2.922264,3.343146
49.728303,17.853109,10.1044,-0.750752,-1.086516,3.142445,1.072668
49.928015,18.003085,10.238249,-0.909234,-0.362441,3.209893,-7.530022
50.127727,18.154969,10.355563,-0.911297,-0.301538,2.701062,-0.145142
50.327439,18.320012,10.463392,-1.119033,-1.65797,2.690309,-0.145142
50.527151,18.504058,10.518836,-1.420647,-1.295465,2.679513,2.55485
50.726863,18.708355,10.524234,-1.663114,-1.143274,2.86361,2.460408
50.926575,18.907847,10.484581,-1.839112,-0.322304,3.030348,-1.849424
51.126287,19.101553,10.432472,-1.789388,0.842558,2.905908,-1.860315
51.325999,19.30495,10.412934,-1.528788,1.336682,2.775112,-0.631942
51.525711,19.501774,10.448299,-1.25064,1.546206,2.729255,-0.148188
51.725423,19.670182,10.537934,-0.907265,1.623894,2.71839,-0.148188
51.925135,19.812667,10.67633,-0.748353,0.006891,2.707481,5.152999
52.124847,19.941661,10.817794,-0.707832,0.548771,3.064096,4.777046
52.32456,20.063843,10.984875,-0.537242,1.062252,3.361064,-0.226539
52.524272,20.147507,11.163502,-0.351723,0.750263,3.347577,3.367626
52.723984,20.204382,11.35765,-0.225991,0.518215,3.542793,5.048301
52.923696,20.240637,11.558062,-0.139931,0.281759,3.816778,5.007865
53.123408,20.265229,11.756706,-0.118307,-0.074646,4.070388,4.967753
53.32312,20.292228,11.950777,-0.170179,-0.42097,4.307238,3.603721
53.522832,20.334462,12.142294,-0.268676,-0.565116,4.471209,-0.996379
53.722544,20.400153,12.335299,-0.387983,-0.581642,4.426481,-0.911136
53.922256,20.48289,12.509509,-0.498673,-0.576942,4.38518,-0.38256
54.121968,20.590043,12.681027,-0.619904,-0.62903,4.367722,-0.38256
54.32168,20.718585,12.838025,-0.752434,-0.623617,4.350195,-0.180948
54.521392,20.863039,12.975391,-0.864846,-0.509018,4.34188,2.025984
54.721104,21.021798,13.098078,-0.958078,-0.424885,4.434089,3.252006
54.920816,21.191457,13.207587,-1.032315,-0.28888,4.578218,4.879678
55.120528,21.365884,13.306348,-1.073125,-0.116502,4.786349,-0.238274
55.32024,21.539496,13.399423,-1.078141,0.067362,4.776396,-8.838181
55.519952,21.716208,13.496717,-1.052945,0.184016,4.39133,-7.432349
55.719664,21.886446,13.598765,-1.004775,0.300018,4.039198,-6.173472
55.919377,22.051094,13.711346,-0.932711,0.440763,3.721463,-4.401868
56.119089,22.205872,13.8388,-0.824173,0.648462,3.477222,-2.273807
56.318801,22.341147,13.983387,-0.672104,0.889794,3.344079,-2.126533
56.518513,22.452893,14.153843,-0.487152,0.934512,3.214572,-1.590616
56.718225,22.528269,14.337048,-0.288258,1.093391,3.114184,-1.33773
56.917937,22.563022,14.540708,-0.049797,1.119202,3.02718,-1.45058
57.117649,22.550458,14.740441,0.179364,1.248956,2.929919,-0.17078
57.317361,22.487988,14.927383,0.474903,1.409077,2.918255,-0.17078
57.517073,22.390563,15.087445,0.54505,-0.44445,2.906544,1.373267
57.716785,22.286876,15.244014,0.681134,1.33385,2.999419,-0.180411
57.916497,22.143367,15.381977,0.911247,0.887613,2.987382,3.899577
58.116209,21.975665,15.49109,1.07401,0.799177,3.237598,3.412792
58.315921,21.78038,15.575322,1.258721,0.91624,3.441684,0.909431
58.515633,21.589094,15.619538,1.423513,0.762991,3.494058,2.440251
58.715345,21.388782,15.634633,1.563302,0.633652,3.630858,3.382108
58.915058,21.187479,15.624081,1.676782,0.438346,3.812352,5.008542
