# x_m, y_m, w_tr_right_m, w_tr_left_m
7.785349, -7.776636, 2.652387, 1.174268
7.885589, -7.597971, 2.601082, 1.179248
7.985063, -7.419292, 2.636878, 1.126735
8.083979, -7.240246, 2.652387, 1.147347
8.182349, -7.060818, 2.601082, 1.093303
8.279985, -6.881368, 2.604833, 1.093303
8.377196, -6.701336, 2.617549, 1.062500
8.473745, -6.521172, 2.565547, 1.093303
8.569641, -6.340875, 2.515576, 1.040207
8.665119, -6.160011, 2.392207, 1.062500
8.759889, -5.979140, 2.275034, 1.007782
8.854144, -5.797907, 2.209709, 1.007782
8.947859, -5.616367, 2.096314, 1.025076
9.040892, -5.434809, 2.028123, 0.976281
9.133529, -5.252687, 1.985298, 0.922801
9.225527, -5.070483, 1.941528, 0.937500
9.316938, -4.888105, 1.872916, 0.894864
9.407904, -4.705285, 1.838180, 0.937500
9.498216, -4.522445, 1.838180, 0.894864
9.588060, -4.339224, 1.790819, 0.901388
9.677355, -4.155796, 1.816805, 0.868278
9.766037, -3.972300, 1.825385, 0.888292
9.854317, -3.788310, 1.856155, 0.838525
9.941984, -3.604274, 1.876041, 0.800391
10.029133, -3.420000, 1.925365, 0.812500
10.115785, -3.235457, 1.985298, 0.762910
10.201847, -3.050859, 2.028123, 0.783123
10.287497, -2.865835, 2.096314, 0.728869
10.372627, -2.680609, 2.186607, 0.698771
10.457169, -2.495312, 2.201739, 0.698771
9.218873, -1.714882, 0.752600, 0.673146
9.346519, -1.553163, 0.755190, 0.664384
9.428198, -1.370798, 0.728869, 0.673146
9.555277, -1.208685, 0.728869, 0.664384
9.682199, -1.046516, 0.783123, 0.643477
9.717631, -0.843857, 0.698771, 0.698771
9.844483, -0.681873, 0.752600, 0.698771
9.925732, -0.499806, 0.698771, 0.664384
10.052767, -0.338520, 0.712610, 0.698771
8.540737, 0.565769, 0.643477, 0.728869
10.307560, -0.017469, 0.762910, 0.673146
10.344666, 0.183993, 0.728869, 0.676041
8.841958, 1.104155, 0.664384, 0.783123
8.974368, 1.269666, 0.676041, 0.698771
10.686486, 0.679915, 0.762910, 0.698771
10.771565, 0.857644, 0.728869, 0.698771
10.857662, 1.034873, 0.728869, 0.698771
10.989882, 1.189802, 0.783123, 0.698771
11.077560, 1.364492, 0.728869, 0.676041
11.166939, 1.539427, 0.728869, 0.698771
11.301690, 1.689970, 0.728869, 0.676041
9.942385, 2.648169, 0.625000, 0.676041
11.486198, 2.033777, 0.728869, 0.676041
10.188150, 2.992236, 0.589624, 0.676041
11.676747, 2.374114, 0.728869, 0.676041
11.775255, 2.545004, 0.728869, 0.698771
10.501204, 3.535185, 0.643477, 0.728869
11.974020, 2.880536, 0.728869, 0.698771
12.075137, 3.045637, 0.728869, 0.698771
12.176892, 3.207100, 0.728869, 0.698771
12.279174, 3.362816, 0.712610, 0.698771
10.943856, 4.593210, 0.625000, 0.687500
12.452152, 3.687909, 0.676041, 0.698771
12.564603, 3.825975, 0.698771, 0.676041
12.680773, 3.955604, 0.728869, 0.676041
12.772652, 4.118231, 0.712610, 0.673146
12.872016, 4.273861, 0.676041, 0.676041
12.983925, 4.425788, 0.664384, 0.676041
13.083850, 4.616219, 0.643477, 0.673146
13.193334, 4.798879, 0.625000, 0.664384
13.331422, 4.983266, 0.625000, 0.664384
13.456256, 5.202752, 0.615554, 0.643477
13.587178, 5.466134, 0.643477, 0.676041
14.336123, 3.766061, 1.858259, 0.676041
13.934578, 5.736493, 0.652519, 0.707107
14.155173, 5.797478, 0.687500, 0.750000
14.379062, 5.795620, 0.712610, 0.750000
14.621259, 5.683973, 0.676041, 0.707107
14.858377, 5.359585, 0.643477, 0.676041
15.083767, 5.078729, 0.664384, 0.707107
15.305422, 4.947350, 0.673146, 0.731544
15.527507, 4.920132, 0.698771, 0.752600
15.735432, 4.999539, 0.664384, 0.712610
15.536877, 6.994871, 0.752600, 1.912132
15.678011, 7.023405, 0.707107, 1.940522
15.789844, 7.048584, 0.664384, 1.989229
16.956803, 4.271645, 1.856155, 0.643477
17.233209, 4.380198, 1.856155, 0.762910
17.515025, 4.514130, 1.941528, 0.929129
17.788348, 4.669719, 2.077596, 1.040207
18.047156, 4.844121, 2.201739, 1.105738
18.296786, 5.041606, 2.352691, 1.179248
18.528919, 5.256655, 2.562500, 1.194061
18.741507, 5.486371, 2.725029, 1.179248
18.936433, 5.731855, 2.688227, 1.200586
19.114567, 5.995233, 2.664876, 1.162567
19.274003, 6.276901, 2.587530, 1.162567
19.412116, 6.577436, 2.497655, 1.075291
19.526281, 6.899294, 2.459834, 1.007782
19.611012, 7.238455, 2.348537, 0.894864
19.661870, 7.593319, 2.055861, 0.812500
19.674245, 7.962059, 1.593444, 0.690335
19.643943, 8.336140, 1.075291, 0.687500
16.741393, 7.866497, 0.530330, 1.162567
16.687378, 7.900295, 0.576222, 1.112781
16.755546, 8.011744, 0.618718, 1.064337
16.696114, 8.130590, 0.752600, 1.149049
16.531379, 8.315279, 1.007782, 1.370732
16.312085, 8.638392, 1.147347, 1.769975
16.149492, 9.179772, 1.009718, 1.880201
16.186043, 9.820469, 0.870524, 1.449677
16.283210, 10.379019, 0.690335, 1.213530
16.567875, 10.805648, 0.559017, 1.149049
17.753231, 10.216312, 0.515388, 0.643477
17.850265, 10.436102, 0.537645, 0.728869
17.990883, 10.606712, 0.559017, 0.838525
17.887342, 11.899636, 0.562500, 1.305038
18.464438, 12.018313, 0.690335, 1.030776
18.698607, 10.475193, 0.503891, 0.537645
18.881869, 10.388014, 0.503891, 0.559017
19.082429, 10.233388, 0.503891, 0.534000
19.358004, 10.117662, 0.625000, 0.534000
19.736695, 10.006924, 0.712610, 0.615554
20.018552, 10.179272, 0.676041, 0.618718
20.182129, 10.339436, 0.783123, 0.562500
20.183820, 10.640709, 0.698771, 0.559017
21.422228, 10.348644, 2.034853, 0.625000
21.587011, 10.741804, 2.250000, 0.812500
21.680424, 11.090631, 2.069118, 0.929129
21.729273, 11.373770, 1.768871, 1.062500
21.750921, 11.550018, 1.664191, 0.910014
21.757034, 11.627753, 1.664191, 0.850092
21.754466, 11.658983, 1.736555, 0.850092
21.755108, 11.691795, 1.816805, 0.790569
21.755040, 11.714755, 1.900863, 0.790569
21.750656, 11.730776, 2.019437, 0.790569
21.752242, 11.751032, 2.000000, 0.731544
21.780255, 11.788498, 1.875000, 0.752600
21.835259, 11.837808, 1.875000, 0.698771
21.930517, 11.902294, 1.875000, 0.652519
22.074622, 11.984345, 2.000000, 0.592927
22.262959, 12.085421, 2.043473, 0.576222
22.487425, 12.210162, 1.985298, 0.534000
22.733098, 12.360549, 2.040603, 0.530330
23.004609, 12.553413, 2.077596, 0.530330
23.301218, 12.813999, 1.973457, 0.589624
23.595609, 13.160998, 1.376420, 0.728869
23.840074, 13.583116, 0.790569, 0.731544
23.859033, 14.109963, 0.565962, 0.637377
23.960260, 14.628600, 0.664384, 0.712610
23.973126, 15.215851, 1.502602, 0.687500
22.616119, 15.005373, 0.637377, 0.576222
22.599000, 15.225481, 0.652519, 0.625000
22.494788, 15.460284, 0.673146, 0.712610
22.279708, 15.591527, 0.643477, 0.698771
21.995468, 15.537001, 0.615554, 0.625000
22.118199, 17.036786, 2.062500, 0.637377
21.701811, 17.115297, 2.275034, 0.894864
21.310262, 17.132576, 2.462214, 1.062500
20.978716, 17.109483, 2.576941, 1.174268
20.738587, 17.075119, 2.692582, 1.185854
20.581273, 17.047855, 2.627975, 1.202212
20.457984, 17.028344, 2.627975, 1.152443
20.331701, 17.015207, 2.623511, 1.131923
20.206212, 17.008562, 2.610077, 1.125000
20.064253, 17.008430, 2.592809, 1.107503
19.907146, 17.015300, 2.562500, 1.078917
19.734555, 17.028117, 2.527969, 1.030776
19.546559, 17.045342, 2.488254, 1.064337
19.346186, 17.065251, 2.516353, 1.017426
19.134582, 17.085903, 2.476452, 0.970261
18.910176, 17.105448, 2.427061, 0.939581
18.675626, 17.121629, 2.440703, 0.945797
18.436309, 17.132332, 2.395471, 0.910014
18.185204, 17.136199, 2.353521, 0.875000
17.933307, 17.131716, 2.315876, 0.833854
17.679467, 17.118296, 2.281036, 0.812500
17.419150, 17.094798, 2.188393, 0.731544
17.155741, 17.060294, 2.125000, 0.687500
17.491791, 14.228067, 0.625000, 1.118034
17.378837, 14.154413, 0.690335, 1.174268
17.277234, 14.025553, 0.822059, 1.288471
17.141800, 14.036099, 0.870524, 1.286954
17.047474, 13.948812, 0.937500, 1.318439
16.924895, 13.896313, 1.000000, 1.352082
16.813739, 13.842707, 1.030776, 1.387725
16.706090, 13.844425, 1.007782, 1.387725
16.675191, 13.771127, 1.069828, 1.404513
16.583426, 13.769209, 1.047691, 1.425219
16.517023, 13.712612, 1.009718, 1.442925
16.478333, 13.599362, 0.988212, 1.485608
16.391410, 13.493626, 0.956066, 1.500000
16.265636, 13.408818, 0.850092, 1.562500
16.214080, 13.245968, 0.812500, 1.635782
16.085315, 13.138877, 0.687500, 1.593444
14.656494, 13.772959, 0.637377, 0.687500
14.596111, 13.569408, 0.673146, 0.687500
14.587113, 13.347658, 0.625000, 0.687500
14.579590, 13.124064, 0.625000, 0.687500
13.207662, 13.634132, 0.592927, 0.652519
14.517284, 12.691967, 0.625000, 0.712610
13.075072, 13.286073, 0.664384, 0.750000
12.986287, 13.130925, 0.728869, 0.762910
12.888813, 12.968232, 0.812500, 0.870524
12.748821, 12.835720, 0.894864, 0.951972
12.608390, 12.703511, 1.017426, 1.030776
12.477334, 12.589654, 1.064337, 1.105738
12.311814, 12.520018, 1.140518, 1.189144
12.224905, 12.395830, 1.232693, 1.147347
12.137971, 12.280471, 1.324351, 1.075291
12.041106, 12.160766, 1.414214, 1.060660
11.937728, 12.041278, 1.510381, 1.040207
11.828515, 11.922274, 1.629801, 1.025076
11.708668, 11.798183, 1.751116, 1.017426
11.583171, 11.673794, 1.875000, 0.988212
11.446932, 11.542670, 1.875000, 0.972272
11.301366, 11.404668, 1.787544, 0.954021
11.149691, 11.261018, 1.692123, 0.929129
10.990718, 11.108354, 1.600781, 0.954021
10.826595, 10.946174, 1.502602, 0.883883
10.659757, 10.774230, 1.387725, 0.868278
10.491840, 10.591468, 1.282393, 0.840852
10.324020, 10.396048, 1.152443, 0.762910
10.159969, 10.189327, 1.060660, 0.752600
11.209963, 9.169430, 0.712610, 0.698771
11.053213, 9.023553, 0.664384, 0.664384
10.904377, 8.870069, 0.676041, 0.676041
10.717799, 8.727607, 0.628117, 0.676041
10.581792, 8.545223, 0.618718, 0.664384
10.459269, 8.360338, 0.643477, 0.664384
10.344652, 8.154686, 0.637377, 0.652519
10.294617, 7.942813, 0.637377, 0.652519
10.207952, 7.742735, 0.628117, 0.687500
10.228153, 7.538581, 0.637377, 0.687500
10.200051, 7.349261, 0.615554, 0.673146
10.269630, 7.124843, 0.628117, 0.687500
10.345393, 6.918174, 0.652519, 0.673146
10.424622, 6.706811, 0.637377, 0.698771
10.457767, 6.491619, 0.652519, 0.698771
10.546108, 6.289459, 0.637377, 0.698771
10.586853, 6.086971, 0.615554, 0.673146
10.678500, 5.880817, 0.625000, 0.673146
9.221466, 5.747339, 0.687500, 0.673146
9.212393, 5.570799, 0.652519, 0.687500
9.300858, 5.400672, 0.712610, 0.755190
9.280944, 5.197503, 0.750000, 0.812500
9.307807, 4.972248, 0.750000, 0.812500
9.290070, 4.719471, 0.790569, 0.850092
9.234980, 4.486279, 0.752600, 0.814900
9.136498, 4.304429, 0.731544, 0.783123
9.087631, 4.133057, 0.690335, 0.728869
9.034512, 3.979723, 0.687500, 0.676041
10.620354, 3.683159, 0.664384, 0.676041
10.452643, 3.486443, 0.643477, 0.698771
10.329648, 3.299924, 0.643477, 0.698771
10.200908, 3.120821, 0.643477, 0.698771
10.115084, 2.940324, 0.643477, 0.698771
9.973781, 2.778941, 0.625000, 0.676041
11.484257, 2.068094, 0.625000, 0.712610
11.352144, 1.839261, 0.643477, 0.712610
11.212305, 1.622075, 0.643477, 0.728869
11.111941, 1.395926, 0.664384, 0.755190
9.456705, 1.992492, 0.643477, 0.698771
9.326381, 1.851416, 0.615554, 0.698771
10.738806, 0.793375, 0.625000, 0.762910
9.138236, 1.525365, 0.625000, 0.712610
10.505196, 0.410528, 0.664384, 0.783123
8.974319, 1.174363, 0.676041, 0.698771
10.265140, 0.047416, 0.643477, 0.698771
8.714672, 0.881888, 0.783123, 0.676041
8.601810, 0.722172, 0.783123, 0.676041
8.527378, 0.533056, 0.728869, 0.664384
9.861446, -0.692659, 0.643477, 0.752600
9.739863, -0.858166, 0.664384, 0.698771
8.136291, 0.085142, 0.814900, 0.676041
8.059011, -0.101349, 0.752600, 0.676041
9.387796, -1.408640, 0.615554, 0.698771
9.267050, -1.637623, 0.643477, 0.712610
7.715372, -0.528150, 0.762910, 0.676041
7.599432, -0.650260, 0.728869, 0.664384
7.510970, -0.799828, 0.698771, 0.676041
7.409078, -0.942347, 0.664384, 0.664384
