# x_m, y_m, w_tr_right_m, w_tr_left_m
51.941623, 1.480114, 0.888529, 0.896833
51.983246, 1.389188, 0.882036, 0.887330
52.025248, 1.298441, 0.873597, 0.877262
52.068480, 1.208287, 0.864186, 0.865995
52.108447, 1.116634, 0.859706, 0.857896
52.152523, 1.026893, 0.852376, 0.852172
52.200851, 0.939347, 0.849638, 0.846267
52.249927, 0.852217, 0.850407, 0.844389
52.298723, 0.764943, 0.848439, 0.840520
52.344718, 0.676151, 0.850950, 0.838801
52.392397, 0.588252, 0.855000, 0.841674
52.441611, 0.501201, 0.852647, 0.839661
52.491373, 0.414461, 0.849502, 0.833281
52.540663, 0.327473, 0.847783, 0.827986
52.585665, 0.238174, 0.841244, 0.820701
52.629610, 0.148350, 0.833801, 0.820339
52.674473, 0.058991, 0.824140, 0.815430
52.715369, -0.032241, 0.817715, 0.811493
52.751634, -0.125429, 0.811516, 0.807217
52.786001, -0.219338, 0.807760, 0.804751
52.821001, -0.313012, 0.800136, 0.799321
52.856456, -0.406508, 0.794027, 0.799615
52.889685, -0.500825, 0.792896, 0.795407
52.922638, -0.595179, 0.798507, 0.796697
52.948125, -0.691876, 0.804095, 0.797964
52.972560, -0.788844, 0.805973, 0.803756
52.996550, -0.885907, 0.810226, 0.811697
53.015034, -0.984128, 0.821109, 0.821109
53.025731, -1.083552, 0.831018, 0.829548
53.035100, -1.183108, 0.842579, 0.843032
53.046824, -1.282416, 0.851584, 0.857421
53.059432, -1.381604, 0.864050, 0.870339
53.068070, -1.481229, 0.874072, 0.874118
53.075720, -1.580936, 0.886041, 0.879548
53.082876, -1.680674, 0.887353, 0.887262
53.092614, -1.780197, 0.889253, 0.894887
53.101810, -1.879695, 0.894751, 0.896968
53.101106, -1.979675, 0.895385, 0.896742
53.095708, -2.079522, 0.887919, 0.892443
53.088287, -2.179234, 0.881041, 0.890995
53.084639, -2.279166, 0.871674, 0.889389
53.081102, -2.379090, 0.863733, 0.881380
53.073485, -2.478796, 0.857896, 0.870882
53.064292, -2.578367, 0.848145, 0.861810
53.058319, -2.678165, 0.833394, 0.854842
53.057954, -2.778152, 0.826018, 0.842195
53.059724, -2.878086, 0.821471, 0.827783
53.056272, -2.977954, 0.816900, 0.820452
53.061887, -3.077785, 0.814299, 0.818824
53.071801, -3.177271, 0.815430, 0.823190
53.085524, -3.276318, 0.823756, 0.826923
53.096101, -3.375747, 0.829118, 0.833552
53.104188, -3.475410, 0.834819, 0.839842
53.116170, -3.574671, 0.842398, 0.844253
53.133461, -3.673137, 0.844864, 0.852014
53.157452, -3.770158, 0.852217, 0.852964
53.190366, -3.864541, 0.852240, 0.852104
53.232635, -3.954853, 0.852941, 0.850905
53.291611, -4.035402, 0.851946, 0.843846
53.361888, -4.106415, 0.855498, 0.833416
53.438661, -4.170492, 0.852851, 0.830181
53.515410, -4.234595, 0.846493, 0.836244
53.592891, -4.297814, 0.850385, 0.841878
53.670239, -4.361196, 0.868462, 0.853982
53.748524, -4.423408, 0.886425, 0.875452
53.829175, -4.482464, 0.902059, 0.917692
53.914442, -4.534625, 0.916448, 0.969231
54.003399, -4.580300, 0.928914, 1.007896
54.090984, -4.628560, 0.935317, 1.034434
54.168540, -4.691055, 0.950498, 1.036290
54.213501, -4.779276, 0.954140, 1.023122
54.228065, -4.877559, 0.958982, 0.992828
54.225722, -4.977422, 0.947692, 0.945226
54.219938, -5.077255, 0.923620, 0.892285
54.221151, -5.177088, 0.890113, 0.834367
54.234045, -5.276069, 0.852443, 0.782421
54.263792, -5.370963, 0.817964, 0.722014
54.300543, -5.463950, 0.792783, 0.679706
54.328678, -5.559554, 0.755769, 0.663982
54.341251, -5.658430, 0.726244, 0.667081
54.341893, -5.758389, 0.701244, 0.674231
54.337040, -5.858239, 0.681267, 0.674502
54.327403, -5.957750, 0.673575, 0.677760
54.313333, -6.056729, 0.675204, 0.679593
54.296510, -6.155304, 0.677805, 0.680452
54.276679, -6.253242, 0.682647, 0.680566
54.254371, -6.350677, 0.685317, 0.678235
54.236255, -6.449020, 0.686109, 0.676697
54.216732, -6.547053, 0.686719, 0.675724
54.195625, -6.644768, 0.688688, 0.678484
54.176614, -6.742935, 0.690090, 0.679525
54.158169, -6.841179, 0.690633, 0.686923
54.140646, -6.939579, 0.693326, 0.691697
54.118246, -7.037031, 0.701244, 0.696697
54.094834, -7.134251, 0.700407, 0.701244
54.070631, -7.231264, 0.698529, 0.709819
54.044038, -7.327662, 0.701109, 0.721968
54.014445, -7.423133, 0.710023, 0.728778
53.979852, -7.516943, 0.723688, 0.729570
53.943953, -7.610272, 0.740452, 0.728303
53.908432, -7.703746, 0.761968, 0.710837
53.869983, -7.796029, 0.781199, 0.716176
53.824086, -7.884624, 0.806335, 0.738484
53.768744, -7.967835, 0.830271, 0.773688
53.710383, -8.049023, 0.849140, 0.829932
53.655414, -8.132517, 0.867149, 0.886900
53.606021, -8.219393, 0.888213, 0.943190
53.564012, -8.310054, 0.911086, 1.000860
53.530691, -8.404205, 0.924140, 1.046742
53.504289, -8.500656, 0.942828, 1.084593
53.478040, -8.597149, 0.962308, 1.112941
53.445257, -8.690861, 0.989955, 1.125158
53.388412, -8.772264, 1.016290, 1.123077
53.314599, -8.839263, 1.049118, 1.105226
53.232956, -8.896942, 1.081471, 1.080747
53.148577, -8.950585, 1.103529, 1.082149
53.062222, -9.000961, 1.121154, 1.084005
52.973294, -9.046602, 1.121742, 1.090747
52.881630, -9.086527, 1.113303, 1.096810
52.787837, -9.120928, 1.102534, 1.093167
52.691255, -9.146746, 1.083122, 1.089321
52.593035, -9.163571, 1.061131, 1.079480
52.493088, -9.166026, 1.030928, 1.064842
52.393096, -9.164761, 1.002330, 1.045068
52.293105, -9.163486, 0.973394, 1.023439
52.193109, -9.162756, 0.952624, 1.000000
52.093130, -9.160767, 0.942059, 0.976561
51.993164, -9.158231, 0.937262, 0.954932
51.893174, -9.157086, 0.930339, 0.940452
51.793177, -9.157780, 0.921471, 0.928462
51.693185, -9.158961, 0.919072, 0.914299
51.593186, -9.159306, 0.911109, 0.903303
51.493203, -9.160304, 0.900701, 0.890362
51.393268, -9.163864, 0.892443, 0.882127
51.293292, -9.165597, 0.880543, 0.873190
51.193306, -9.164313, 0.870973, 0.864683
51.093348, -9.161572, 0.859412, 0.862579
50.993368, -9.161749, 0.851765, 0.857398
50.893445, -9.163651, 0.843710, 0.854887
50.793600, -9.158355, 0.841154, 0.850498
50.693981, -9.149647, 0.839774, 0.849910
50.594446, -9.140019, 0.838552, 0.852104
50.494870, -9.130824, 0.839774, 0.852760
50.395454, -9.120449, 0.838891, 0.850860
50.296805, -9.104095, 0.838054, 0.843394
50.198665, -9.084973, 0.834027, 0.839050
50.101121, -9.062948, 0.828348, 0.834593
50.003504, -9.041250, 0.827489, 0.828484
49.906369, -9.017642, 0.831222, 0.820724
49.810485, -8.989247, 0.837851, 0.819774
49.714316, -8.961871, 0.842443, 0.825860
49.617765, -8.935915, 0.846991, 0.823982
49.522895, -8.904492, 0.841425, 0.827828
49.430960, -8.865266, 0.840905, 0.828710
49.341938, -8.819770, 0.839977, 0.833100
49.256335, -8.768305, 0.845181, 0.840543
49.175397, -8.709577, 0.846063, 0.843665
49.096835, -8.647952, 0.840407, 0.850249
49.024721, -8.578679, 0.837466, 0.854389
48.954762, -8.507277, 0.846561, 0.867398
48.889004, -8.431953, 0.858846, 0.875362
48.826792, -8.353731, 0.872851, 0.883348
48.771313, -8.270654, 0.885792, 0.889887
48.724116, -8.182552, 0.891652, 0.892195
48.685230, -8.090614, 0.889412, 0.887715
48.660172, -7.994011, 0.879593, 0.870430
48.647850, -7.894823, 0.859186, 0.852941
48.643579, -7.795010, 0.844027, 0.830860
48.646705, -7.695070, 0.824729, 0.815385
48.655184, -7.595531, 0.809186, 0.797647
48.670720, -7.496753, 0.788371, 0.775701
48.685108, -7.397879, 0.770407, 0.759367
48.693768, -7.298254, 0.756810, 0.750000
48.704038, -7.198808, 0.752783, 0.747489
48.719435, -7.100041, 0.748213, 0.743258
48.739656, -7.002115, 0.746357, 0.742195
48.760737, -6.904370, 0.741719, 0.738733
48.777862, -6.805898, 0.731968, 0.735611
48.791165, -6.706792, 0.723009, 0.725045
48.806785, -6.608028, 0.715520, 0.715950
48.823377, -6.509423, 0.704955, 0.708552
48.834415, -6.410174, 0.700226, 0.708303
48.837817, -6.310233, 0.696561, 0.707127
48.841865, -6.210327, 0.699412, 0.701787
48.847478, -6.110490, 0.697014, 0.698824
48.852496, -6.010625, 0.699367, 0.701176
48.860443, -5.910953, 0.702557, 0.713620
48.869396, -5.811368, 0.714661, 0.725769
48.876735, -5.711645, 0.728756, 0.735701
48.885752, -5.612052, 0.743371, 0.748258
48.892165, -5.512333, 0.746810, 0.758281
48.889923, -5.412450, 0.749367, 0.764299
48.879005, -5.313111, 0.747805, 0.758077
48.859349, -5.215214, 0.739050, 0.753529
48.828386, -5.120288, 0.726787, 0.744344
48.789860, -5.028010, 0.711176, 0.729434
48.750697, -4.935998, 0.693846, 0.707489
48.709234, -4.845086, 0.674208, 0.694186
48.661491, -4.757248, 0.662986, 0.679977
48.608727, -4.672388, 0.668982, 0.667466
48.549581, -4.591822, 0.687534, 0.655656
48.486617, -4.514133, 0.717511, 0.623462
48.424064, -4.436125, 0.749095, 0.622715
48.365727, -4.355027, 0.784005, 0.649796
48.316645, -4.268208, 0.818507, 0.694163
48.277397, -4.176244, 0.852036, 0.765928
48.239871, -4.083579, 0.882104, 0.834977
48.195903, -3.993875, 0.907828, 0.900588
48.138791, -3.911965, 0.928484, 0.955271
48.068819, -3.840649, 0.936810, 1.000068
47.991152, -3.777679, 0.939457, 1.034480
47.912784, -3.715701, 0.935000, 1.054932
47.846209, -3.642058, 0.932851, 1.052919
47.809392, -3.550758, 0.927647, 1.026697
47.804080, -3.451729, 0.921086, 0.976154
47.817553, -3.352911, 0.914932, 0.918552
47.839591, -3.255396, 0.905950, 0.889615
47.866195, -3.159032, 0.901357, 0.870814
47.894714, -3.063186, 0.895136, 0.861629
47.926284, -2.968364, 0.881425, 0.865000
47.962979, -2.875360, 0.878281, 0.857941
48.006555, -2.785511, 0.871606, 0.850769
48.058236, -2.699990, 0.864299, 0.839615
48.114271, -2.617176, 0.855566, 0.832308
48.175636, -2.538369, 0.847851, 0.828054
48.244193, -2.465711, 0.836606, 0.820837
48.315822, -2.395931, 0.820226, 0.818100
48.389092, -2.327907, 0.813643, 0.811833
48.463323, -2.260903, 0.819932, 0.802195
48.538470, -2.194944, 0.830633, 0.797285
48.615008, -2.130589, 0.842511, 0.790837
48.691144, -2.065764, 0.855566, 0.799661
48.765969, -1.999430, 0.860814, 0.819729
48.839570, -1.931739, 0.855000, 0.846787
48.913736, -1.864682, 0.867873, 0.888348
48.982362, -1.792673, 0.886267, 0.928009
49.034943, -1.708212, 0.914005, 0.967828
49.074468, -1.616446, 0.946380, 1.013100
49.105692, -1.521576, 0.980452, 1.057353
49.132473, -1.425246, 1.013281, 1.094186
49.164218, -1.330494, 1.045385, 1.125656
49.202638, -1.238208, 1.086131, 1.143597
49.245877, -1.148066, 1.123190, 1.150068
49.292403, -1.059556, 1.152896, 1.150747
49.337069, -0.970154, 1.166290, 1.148462
49.361080, -0.874310, 1.167805, 1.150181
49.361825, -0.774631, 1.158416, 1.151629
49.346434, -0.676119, 1.148009, 1.150588
49.314678, -0.581684, 1.143937, 1.153529
49.275133, -0.489845, 1.140769, 1.150000
49.229814, -0.400819, 1.138507, 1.150000
49.176854, -0.316102, 1.137149, 1.150000
49.116991, -0.236105, 1.136697, 1.150000
49.050617, -0.161435, 1.137149, 1.150000
48.979479, -0.091197, 1.138507, 1.150000
48.904584, -0.025010, 1.140769, 1.155294
48.824014, 0.033848, 1.165113, 1.156176
48.734590, 0.077156, 1.169186, 1.155090
48.637386, 0.097508, 1.157014, 1.154774
48.538660, 0.089822, 1.135860, 1.149955
48.441213, 0.067489, 1.106154, 1.139276
48.343895, 0.044490, 1.075158, 1.118303
48.245768, 0.025341, 1.034751, 1.089525
48.146823, 0.011011, 0.998959, 1.051900
48.047198, 0.002891, 0.959751, 1.014389
47.947398, -0.003432, 0.924321, 0.977262
47.848075, -0.014576, 0.899706, 0.938733
47.751160, -0.038077, 0.880950, 0.922376
47.659249, -0.076724, 0.874796, 0.912919
47.575523, -0.130681, 0.891357, 0.910633
47.492668, -0.186542, 0.924050, 0.912172
47.410056, -0.242786, 0.930136, 0.922489
47.333178, -0.306460, 0.939027, 0.932715
47.261021, -0.375678, 0.938733, 0.945588
47.192969, -0.448843, 0.937715, 0.953235
47.129567, -0.526140, 0.937670, 0.954253
47.066160, -0.603441, 0.937127, 0.946946
47.001393, -0.679633, 0.927851, 0.938077
46.934688, -0.754091, 0.913303, 0.927873
46.862950, -0.823623, 0.903710, 0.909955
46.786391, -0.887891, 0.895995, 0.893167
46.708522, -0.950629, 0.880317, 0.891516
46.634569, -1.017747, 0.873756, 0.888529
46.562671, -1.087228, 0.879706, 0.884570
46.491350, -1.157282, 0.893303, 0.886561
46.422393, -1.229697, 0.904751, 0.889502
46.356600, -1.304941, 0.909276, 0.891697
46.291757, -1.381050, 0.910339, 0.903371
46.224210, -1.454763, 0.914706, 0.914593
46.152091, -1.523896, 0.917376, 0.920656
46.075621, -1.588302, 0.918575, 0.923552
45.996220, -1.649038, 0.911606, 0.921742
45.914456, -1.706593, 0.904932, 0.913462
45.830082, -1.760179, 0.898484, 0.901787
45.742899, -1.809101, 0.890566, 0.891425
45.656784, -1.859777, 0.874186, 0.885543
45.574748, -1.916850, 0.871199, 0.885837
45.492983, -1.974360, 0.874774, 0.883846
45.412203, -2.033181, 0.886833, 0.884570
45.332195, -2.093135, 0.893756, 0.887715
45.249762, -2.149708, 0.900226, 0.896290
45.167514, -2.206548, 0.909027, 0.911606
45.085157, -2.263236, 0.919638, 0.924751
45.003687, -2.321143, 0.926380, 0.936878
44.921398, -2.377825, 0.933575, 0.947376
44.837457, -2.432170, 0.943846, 0.948801
44.752450, -2.484777, 0.948054, 0.954163
44.666151, -2.535298, 0.955973, 0.954480
44.581248, -2.588072, 0.958914, 0.954525
44.494556, -2.637609, 0.951652, 0.952308
44.404300, -2.680610, 0.952873, 0.951063
44.314160, -2.723857, 0.945814, 0.949095
44.225164, -2.769457, 0.937624, 0.941403
44.137103, -2.816822, 0.931991, 0.938439
44.046470, -2.858519, 0.925905, 0.937421
43.953863, -2.896217, 0.918122, 0.932489
43.860762, -2.932609, 0.910860, 0.928077
43.766314, -2.965447, 0.904796, 0.921855
43.671355, -2.996793, 0.902602, 0.913258
43.575459, -3.025027, 0.900407, 0.898258
43.478787, -3.050607, 0.894412, 0.886448
43.381730, -3.074658, 0.889276, 0.870498
43.284283, -3.097108, 0.875905, 0.856765
43.186454, -3.117794, 0.860204, 0.839615
43.087856, -3.134222, 0.851312, 0.830407
42.989205, -3.150424, 0.836222, 0.820045
42.890446, -3.165905, 0.827376, 0.812964
42.791325, -3.179134, 0.823688, 0.810068
42.693201, -3.197757, 0.822602, 0.805271
42.595938, -3.220993, 0.819796, 0.802330
42.499097, -3.245877, 0.817421, 0.808235
42.402301, -3.270960, 0.822466, 0.809525
42.305470, -3.295917, 0.828235, 0.814661
42.208840, -3.321660, 0.831267, 0.819955
42.112125, -3.347080, 0.838100, 0.826719
42.014853, -3.370194, 0.839819, 0.830973
41.916725, -3.389339, 0.842738, 0.840566
41.818233, -3.406639, 0.844638, 0.846357
41.720159, -3.426070, 0.848462, 0.856357
41.622325, -3.446766, 0.851991, 0.859887
41.524306, -3.466568, 0.859774, 0.864955
41.426452, -3.487144, 0.866131, 0.865882
41.329039, -3.509721, 0.870385, 0.861923
41.231409, -3.531291, 0.871629, 0.856968
41.133702, -3.552551, 0.879186, 0.861290
41.036305, -3.575215, 0.887308, 0.867851
40.938614, -3.596526, 0.888484, 0.881312
40.840762, -3.617126, 0.888213, 0.906335
40.744497, -3.643605, 0.893009, 0.927127
40.653233, -3.683480, 0.905543, 0.956584
40.568535, -3.736365, 0.928326, 0.993914
40.490673, -3.798769, 0.953643, 1.028167
40.417405, -3.866826, 0.984005, 1.063620
40.342034, -3.932425, 1.022149, 1.092557
