# x_m, y_m, w_tr_right_m, w_tr_left_m
43.684714, 1.059284, 0.580068, 0.582081
43.604981, 1.119594, 0.585181, 0.581403
43.523361, 1.177365, 0.594955, 0.580317
43.441492, 1.234727, 0.603937, 0.583824
43.356898, 1.288043, 0.606674, 0.586697
43.271755, 1.340477, 0.611176, 0.592172
43.186280, 1.392229, 0.616991, 0.598326
43.097829, 1.438880, 0.622195, 0.606697
43.008071, 1.482552, 0.619796, 0.610362
42.914522, 1.517886, 0.618032, 0.610860
42.820115, 1.550664, 0.614977, 0.609661
42.723539, 1.576419, 0.614095, 0.608303
42.625787, 1.597501, 0.610611, 0.606787
42.527474, 1.615387, 0.604977, 0.608801
42.428572, 1.629859, 0.602873, 0.606335
42.330475, 1.649251, 0.598281, 0.598145
42.232161, 1.667042, 0.592104, 0.589683
42.133073, 1.680314, 0.581787, 0.583100
42.034131, 1.694309, 0.569774, 0.573846
41.934576, 1.703628, 0.560204, 0.571131
41.835152, 1.714317, 0.553982, 0.565633
41.735466, 1.721658, 0.545317, 0.558258
41.635498, 1.723765, 0.531652, 0.554977
41.535586, 1.721474, 0.523824, 0.544774
41.435792, 1.717424, 0.520747, 0.535249
41.335912, 1.721987, 0.519706, 0.528778
41.236099, 1.727675, 0.517919, 0.520814
41.136341, 1.733077, 0.517602, 0.518575
41.036954, 1.744061, 0.519208, 0.513824
40.937853, 1.756520, 0.516199, 0.510023
40.840069, 1.777376, 0.515339, 0.510407
40.743165, 1.802008, 0.514638, 0.512986
40.647680, 1.831473, 0.517104, 0.519005
40.554495, 1.867700, 0.520520, 0.531244
40.463431, 1.908881, 0.527670, 0.542104
40.375505, 1.956406, 0.530882, 0.557443
40.289608, 2.007603, 0.539253, 0.572828
40.204157, 2.059459, 0.548122, 0.583665
40.121283, 2.115418, 0.566516, 0.595362
40.040498, 2.174224, 0.583077, 0.606493
39.963334, 2.237829, 0.594683, 0.613869
39.888970, 2.304452, 0.611448, 0.626063
39.821630, 2.378329, 0.622805, 0.636267
39.758716, 2.456007, 0.640181, 0.646131
39.700218, 2.537085, 0.658009, 0.657240
39.647036, 2.621639, 0.675950, 0.669480
39.599508, 2.709622, 0.695430, 0.684502
39.551858, 2.797538, 0.711109, 0.702421
39.505459, 2.886117, 0.727873, 0.718348
39.461458, 2.975896, 0.743914, 0.735928
39.420169, 3.066974, 0.759344, 0.750339
39.381151, 3.158987, 0.772805, 0.765452
39.347145, 3.253026, 0.783167, 0.776900
39.317597, 3.348391, 0.787760, 0.778778
39.297321, 3.446300, 0.789208, 0.777104
39.279854, 3.544761, 0.788756, 0.778122
39.262883, 3.643307, 0.784638, 0.778371
39.243774, 3.741450, 0.782308, 0.773145
39.222507, 3.839162, 0.773982, 0.761357
39.200397, 3.936657, 0.762330, 0.750611
39.172852, 4.032741, 0.744955, 0.736810
39.141956, 4.127837, 0.727986, 0.721086
39.112600, 4.223428, 0.712557, 0.704570
39.081158, 4.318345, 0.700023, 0.693620
39.046269, 4.412034, 0.683281, 0.681131
39.005941, 4.503464, 0.673914, 0.671991
38.958329, 4.591327, 0.657828, 0.659095
38.904047, 4.675246, 0.651380, 0.643575
38.845157, 4.756062, 0.645249, 0.634796
38.782957, 4.834254, 0.643643, 0.630136
38.714949, 4.907527, 0.645543, 0.628507
38.645178, 4.979146, 0.646403, 0.630204
38.575633, 5.050941, 0.644683, 0.631833
38.502642, 5.119290, 0.641629, 0.636629
38.429491, 5.187460, 0.643032, 0.640837
38.356251, 5.255492, 0.641022, 0.684353
38.277364, 5.316692, 0.639849, 0.673742
