# x_m, y_m, w_tr_right_m, w_tr_left_m
7.703932, -4.754708, 1.1, 1.1
7.794553, -4.576563, 1.1, 1.1
7.884563, -4.39831, 1.1, 1.1
7.974015, -4.219856, 1.1, 1.1
8.06304, -4.04095, 1.1, 1.1
8.151443, -3.861989, 1.1, 1.1
8.239398, -3.682635, 1.1, 1.1
8.326829, -3.503048, 1.1, 1.1
8.413672, -3.323371, 1.1, 1.1
8.500131, -3.143191, 1.1, 1.1
8.586002, -2.962937, 1.1, 1.1
8.67138, -2.782422, 1.1, 1.1
8.75629, -2.601602, 1.1, 1.1
8.840639, -2.42069, 1.1, 1.1
8.924571, -2.239391, 1.1, 1.1
9.007972, -2.057939, 1.1, 1.1
9.09085, -1.876302, 1.1, 1.1
9.173281, -1.694355, 1.1, 1.1
9.255255, -1.512287, 1.1, 1.1
9.336875, -1.330053, 1.1, 1.1
9.418242, -1.147682, 1.1, 1.1
9.499465, -0.965224, 1.1, 1.1
9.580599, -0.782846, 1.1, 1.1
9.661844, -0.600368, 1.1, 1.1
9.743208, -0.418045, 1.1, 1.1
9.824814, -0.235867, 1.1, 1.1
9.906899, -0.053587, 1.1, 1.1
9.989236, 0.12803, 1.1, 1.1
10.072271, 0.309695, 1.1, 1.1
10.155986, 0.491104, 1.1, 1.1
10.240275, 0.671771, 1.1, 1.1
10.3257, 0.852639, 1.1, 1.1
10.41178, 1.032443, 1.1, 1.1
10.498977, 1.211919, 1.1, 1.1
10.587709, 1.391685, 1.1, 1.1
10.676849, 1.569262, 1.1, 1.1
10.767815, 1.747272, 1.1, 1.1
10.860119, 1.924523, 1.1, 1.1
10.953267, 2.099884, 1.1, 1.1
11.048875, 2.276158, 1.1, 1.1
11.145532, 2.450554, 1.1, 1.1
11.243582, 2.62385, 1.1, 1.1
11.344007, 2.798036, 1.1, 1.1
11.445109, 2.970346, 1.1, 1.1
11.547692, 3.141773, 1.1, 1.1
11.652261, 3.312425, 1.1, 1.1
11.759256, 3.482019, 1.1, 1.1
11.869172, 3.648995, 1.1, 1.1
11.982956, 3.812011, 1.1, 1.1
12.10407, 3.973109, 1.1, 1.1
12.230633, 4.127577, 1.1, 1.1
12.363685, 4.274908, 1.1, 1.1
12.507462, 4.417687, 1.1, 1.1
12.656177, 4.549385, 1.1, 1.1
12.814043, 4.673053, 1.1, 1.1
12.980852, 4.787658, 1.1, 1.1
13.147248, 4.887626, 1.1, 1.1
13.331422, 4.983266, 1.1, 1.1
13.50953, 5.062531, 1.1, 1.1
13.698133, 5.134187, 1.1, 1.1
13.883238, 5.196059, 1.1, 1.1
14.069286, 5.254981, 1.1, 1.1
14.264185, 5.309506, 1.1, 1.1
14.453887, 5.351885, 1.1, 1.1
14.656477, 5.386047, 1.1, 1.1
14.853878, 5.409382, 1.1, 1.1
15.053696, 5.427435, 1.1, 1.1
15.254552, 5.444756, 1.1, 1.1
15.452693, 5.46502, 1.1, 1.1
15.648014, 5.491838, 1.1, 1.1
15.84371, 5.526588, 1.1, 1.1
16.036581, 5.566893, 1.1, 1.1
16.228218, 5.614071, 1.1, 1.1
16.424955, 5.674192, 1.1, 1.1
16.606895, 5.743184, 1.1, 1.1
16.790571, 5.827586, 1.1, 1.1
16.967334, 5.925082, 1.1, 1.1
17.13349, 6.033749, 1.1, 1.1
17.293112, 6.156343, 1.1, 1.1
17.442051, 6.290443, 1.1, 1.1
17.579687, 6.435146, 1.1, 1.1
17.706208, 6.590077, 1.1, 1.1
17.820985, 6.754605, 1.1, 1.1
17.922263, 6.927131, 1.1, 1.1
18.008412, 7.106223, 1.1, 1.1
18.079127, 7.293941, 1.1, 1.1
18.1317, 7.486724, 1.1, 1.1
18.164506, 7.682199, 1.1, 1.1
18.176375, 7.882156, 1.1, 1.1
18.165753, 8.081277, 1.1, 1.1
18.131917, 8.277524, 1.1, 1.1
18.075135, 8.46962, 1.1, 1.1
17.999335, 8.654386, 1.1, 1.1
17.906195, 8.834652, 1.1, 1.1
17.803264, 9.011561, 1.1, 1.1
17.710499, 9.181013, 1.1, 1.1
17.637485, 9.369181, 1.1, 1.1
17.612891, 9.562391, 1.1, 1.1
17.648044, 9.756743, 1.1, 1.1
17.732345, 9.94164, 1.1, 1.1
17.853109, 10.1044, 1.1, 1.1
18.003085, 10.238249, 1.1, 1.1
18.154969, 10.355563, 1.1, 1.1
18.320012, 10.463392, 1.1, 1.1
18.504058, 10.518836, 1.1, 1.1
18.708355, 10.524234, 1.1, 1.1
18.907847, 10.484581, 1.1, 1.1
